timestamp_utc,load_mw,temperature_2m,wind_speed_10m
2025-11-14 12:00:00+00:00,1.9846569215210095,4.3,1.2
2025-11-14 13:00:00+00:00,2.0539031661739418,4.4,1.9
2025-11-14 14:00:00+00:00,2.0539031661739418,4.4,1.6
2025-11-14 15:00:00+00:00,5.350348659847086,3.6,0.7
2025-11-14 16:00:00+00:00,1.9502931908317183,2.7,1.5
2025-11-14 17:00:00+00:00,1.9502931908317183,2.2,2.2
2025-11-14 18:00:00+00:00,1.9502931908317183,1.5,2.1
2025-11-14 19:00:00+00:00,1.7149781688132286,0.8,2.9
2025-11-14 20:00:00+00:00,1.9502931908317183,0.2,2.6
2025-11-14 21:00:00+00:00,1.9502931908317183,-0.3,2.5
2025-11-14 22:00:00+00:00,1.9502931908317183,-0.6,2.1
2025-11-14 23:00:00+00:00,1.9502931908317183,-1.0,1.7
2025-11-15 00:00:00+00:00,1.9502931908317183,-1.1,1.7
2025-11-15 01:00:00+00:00,2.041618634652045,-1.6,1.8
2025-11-15 02:00:00+00:00,2.0659878207335205,-2.0,1.9
2025-11-15 03:00:00+00:00,2.11753569586897,-2.5,2.0
2025-11-15 04:00:00+00:00,2.11753569586897,-2.2,2.3
2025-11-15 05:00:00+00:00,2.11753569586897,-2.5,1.7
2025-11-15 06:00:00+00:00,2.11753569586897,-2.8,1.6
2025-11-15 07:00:00+00:00,2.11753569586897,-3.3,1.6
2025-11-15 08:00:00+00:00,2.8138391195997,-3.4,0.8
2025-11-15 09:00:00+00:00,2.1867819405219033,-2.5,1.1
2025-11-15 10:00:00+00:00,2.1478461000190543,-1.2,1.8
2025-11-15 11:00:00+00:00,2.1478461000190543,0.5,1.6
2025-11-15 12:00:00+00:00,2.0539031661739418,1.7,1.6
2025-11-15 13:00:00+00:00,2.0539031661739418,2.1,1.7
2025-11-15 14:00:00+00:00,2.0539031661739418,2.0,1.8
2025-11-15 15:00:00+00:00,1.9783246823055627,1.1,2.2
2025-11-15 16:00:00+00:00,1.9502931908317183,-0.1,2.4
2025-11-15 17:00:00+00:00,2.2974320815858165,-0.1,2.8
2025-11-15 18:00:00+00:00,2.2974320815858165,0.2,2.8
2025-11-15 19:00:00+00:00,1.9297702380292097,0.5,3.2
2025-11-15 20:00:00+00:00,1.5308137645840971,0.0,3.4
2025-11-15 21:00:00+00:00,2.0826951917648375,0.5,2.9
2025-11-15 22:00:00+00:00,1.9048630267511548,1.3,4.6
2025-11-15 23:00:00+00:00,1.5122387925214902,2.6,4.9
2025-11-16 00:00:00+00:00,1.51427806953985,3.3,4.9
2025-11-16 01:00:00+00:00,1.5920014318192686,4.0,4.9
2025-11-16 02:00:00+00:00,1.6163706179007442,4.1,4.9
2025-11-16 03:00:00+00:00,1.6679184930361943,4.8,6.0
2025-11-16 04:00:00+00:00,1.6615862538207469,5.3,6.5
2025-11-16 05:00:00+00:00,1.6679184930361943,5.4,7.1
2025-11-16 06:00:00+00:00,1.6615862538207469,5.6,7.6
2025-11-16 07:00:00+00:00,2.0605427272658576,5.9,7.8
2025-11-16 08:00:00+00:00,2.0605427272658576,6.2,7.8
2025-11-16 09:00:00+00:00,2.084918486246775,6.6,7.6
2025-11-16 10:00:00+00:00,2.045982645743926,7.2,8.1
2025-11-16 11:00:00+00:00,1.6470261722988147,7.4,8.0
2025-11-16 12:00:00+00:00,1.5530832384537012,7.5,8.3
